Year,Week,Category,Weekly_Units_Sold,Weekly_Revenue,Weekly_Margin,Lag_1,Lag_2,Lag_3,Rolling_4_Week_Avg,Target,Category_Encoded
2024,4,Beverages,298,35351.76998965133,7103.913980126903,303.0,293.0,219.0,278.25,235.0,0
2024,5,Beverages,235,35044.18107289265,7110.440419671481,298.0,303.0,293.0,282.25,256.0,0
2024,6,Beverages,256,37448.65102966296,7615.344017441666,235.0,298.0,303.0,273.0,328.0,0
2024,7,Beverages,328,43689.92531152725,9417.965878520947,256.0,235.0,298.0,279.25,228.0,0
2024,8,Beverages,228,25903.76469276122,5188.880379053294,328.0,256.0,235.0,261.75,225.0,0
2024,9,Beverages,225,26973.48469584369,4927.191488148197,228.0,328.0,256.0,259.25,275.0,0
2024,10,Beverages,275,33850.89556006455,6726.805513576549,225.0,228.0,328.0,264.0,210.0,0
2024,11,Beverages,210,26665.917765799928,4967.68141621488,275.0,225.0,228.0,234.5,316.0,0
2024,12,Beverages,316,40827.522078582064,7567.154441161472,210.0,275.0,225.0,256.5,250.0,0
2024,13,Beverages,250,34829.5549459103,6547.715571413787,316.0,210.0,275.0,262.75,315.0,0
2024,14,Beverages,315,45217.84893658891,9393.556245957301,250.0,316.0,210.0,272.75,249.0,0
2024,15,Beverages,249,35841.00805699489,7409.004661117874,315.0,250.0,316.0,282.5,238.0,0
2024,16,Beverages,238,30945.537136556704,6483.319678161589,249.0,315.0,250.0,263.0,370.0,0
2024,17,Beverages,370,49627.59646416841,10124.703159308578,238.0,249.0,315.0,293.0,275.0,0
2024,18,Beverages,275,31942.61543797468,6715.385332660339,370.0,238.0,249.0,283.0,280.0,0
2024,19,Beverages,280,40634.00908100798,7754.670387162884,275.0,370.0,238.0,290.75,232.0,0
2024,20,Beverages,232,33977.94481449303,7127.22622294404,280.0,275.0,370.0,289.25,259.0,0
2024,21,Beverages,259,34943.5105865409,7274.336821627004,232.0,280.0,275.0,261.5,290.0,0
2024,22,Beverages,290,35013.72227475694,7438.106117627127,259.0,232.0,280.0,265.25,270.0,0
2024,23,Beverages,270,33919.4445256595,6821.006663349606,290.0,259.0,232.0,262.75,189.0,0
